Callsign,Total Steps,TFR Violations,Separation Violations
AMX410,1546,30,247
AZU8708_SYN,1912,0,398
UAL1020_SYN,577,3,102
SWG5417_SYN,1122,0,192
SWA219_SYN,1376,0,217
DAL1812_SYN,930,0,159
AAL1028,909,0,168
AAL1028_SYN,909,0,207
SWA3012_SYN,643,0,111
DAL1812,930,0,159
JBU1052,1470,0,272
SWA3012,643,0,111
BWA035,722,0,119
SWG5417,1122,0,186
AAL1189_SYN,600,0,122
NKS2061,877,0,139
UAL1020,577,0,103
BWA035_SYN,722,0,119
SWA219,1376,0,214
AZU8708,1912,0,315
AMX410_SYN,1546,27,246
SWG388_SYN,1092,0,196
AAL917_SYN,1412,0,242
AAL1189,600,0,119
AAL917,1412,0,241
NKS2061_SYN,877,0,139
JBU1052_SYN,1470,0,277
SWG388,1092,0,198
